#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;Extra1;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;==========;==========;X
#AI.txt;;;;;;;;;;;X
EVT_2400151_NAME;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;;;X
EVT_2011017_ACTA;Make some concessions but demand a loyal puppet;Make some concessions but demand a loyal puppet;Make some concessions but demand a loyal puppet;Make some concessions but demand a loyal puppet;Make some concessions but demand a loyal puppet;Make some concessions but demand a loyal puppet;Make some concessions but demand a loyal puppet;Make some concessions but demand a loyal puppet;;;X
EVT_2011017_ACTB;Why make concessions now when we can take what we want?;Why make concessions now when we can take what we want?;Why make concessions now when we can take what we want?;Why make concessions now when we can take what we want?;Why make concessions now when we can take what we want?;Why make concessions now when we can take what we want?;Why make concessions now when we can take what we want?;Why make concessions now when we can take what we want?;;;X
EVT_2012017_NAME;Japan refuses any compromise;Japan refuses any compromise;Japan refuses any compromise;Japan refuses any compromise;Japan refuses any compromise;Japan refuses any compromise;Japan refuses any compromise;Japan refuses any compromise;;;X
EVT_2012017_DESC;Despite our attempts to reach out and make peace, the Japanese are no longer interested in what we have to offer. They already have their puppet government in Nanjing, and they are confident that they can crush whatever remains of our military, so they feel no need to make any concessions.;Despite our attempts to reach out and make peace, the Japanese are no longer interested in what we have to offer. They already have their puppet government in Nanjing, and they are confident that they can crush whatever remains of our military, so they feel no need to make any concessions.;Despite our attempts to reach out and make peace, the Japanese are no longer interested in what we have to offer. They already have their puppet government in Nanjing, and they are confident that they can crush whatever remains of our military, so they feel no need to make any concessions.;Despite our attempts to reach out and make peace, the Japanese are no longer interested in what we have to offer. They already have their puppet government in Nanjing, and they are confident that they can crush whatever remains of our military, so they feel no need to make any concessions.;Despite our attempts to reach out and make peace, the Japanese are no longer interested in what we have to offer. They already have their puppet government in Nanjing, and they are confident that they can crush whatever remains of our military, so they feel no need to make any concessions.;Despite our attempts to reach out and make peace, the Japanese are no longer interested in what we have to offer. They already have their puppet government in Nanjing, and they are confident that they can crush whatever remains of our military, so they feel no need to make any concessions.;Despite our attempts to reach out and make peace, the Japanese are no longer interested in what we have to offer. They already have their puppet government in Nanjing, and they are confident that they can crush whatever remains of our military, so they feel no need to make any concessions.;Despite our attempts to reach out and make peace, the Japanese are no longer interested in what we have to offer. They already have their puppet government in Nanjing, and they are confident that they can crush whatever remains of our military, so they feel no need to make any concessions.;;;X
EVT_2012017_ACTA;Well, we tried..;Well, we tried..;Well, we tried..;Well, we tried..;Well, we tried..;Well, we tried..;Well, we tried..;Well, we tried..;;;X
EVT_2012018_NAME;Japan demands our submission;Japan demands our submission;Japan demands our submission;Japan demands our submission;Japan demands our submission;Japan demands our submission;Japan demands our submission;Japan demands our submission;;;X
EVT_2012018_DESC;The Japanese demands are harsh. They demand a protectorate over China, the ability to occupy and economically exploit large areas of the country, our demilitarization, extermination of the Communists and their sympathizers, direct annexation of certain coastal lands, and, finally, the resignation of Chiang and heads of the Chinese military deemed 'anti-Japanese';The Japanese demands are harsh. They demand a protectorate over China, the ability to occupy and economically exploit large areas of the country, our demilitarization, extermination of the Communists and their sympathizers, direct annexation of certain coastal lands, and, finally, the resignation of Chiang and heads of the Chinese military deemed 'anti-Japanese';The Japanese demands are harsh. They demand a protectorate over China, the ability to occupy and economically exploit large areas of the country, our demilitarization, extermination of the Communists and their sympathizers, direct annexation of certain coastal lands, and, finally, the resignation of Chiang and heads of the Chinese military deemed 'anti-Japanese';The Japanese demands are harsh. They demand a protectorate over China, the ability to occupy and economically exploit large areas of the country, our demilitarization, extermination of the Communists and their sympathizers, direct annexation of certain coastal lands, and, finally, the resignation of Chiang and heads of the Chinese military deemed 'anti-Japanese';The Japanese demands are harsh. They demand a protectorate over China, the ability to occupy and economically exploit large areas of the country, our demilitarization, extermination of the Communists and their sympathizers, direct annexation of certain coastal lands, and, finally, the resignation of Chiang and heads of the Chinese military deemed 'anti-Japanese';The Japanese demands are harsh. They demand a protectorate over China, the ability to occupy and economically exploit large areas of the country, our demilitarization, extermination of the Communists and their sympathizers, direct annexation of certain coastal lands, and, finally, the resignation of Chiang and heads of the Chinese military deemed 'anti-Japanese';The Japanese demands are harsh. They demand a protectorate over China, the ability to occupy and economically exploit large areas of the country, our demilitarization, extermination of the Communists and their sympathizers, direct annexation of certain coastal lands, and, finally, the resignation of Chiang and heads of the Chinese military deemed 'anti-Japanese';The Japanese demands are harsh. They demand a protectorate over China, the ability to occupy and economically exploit large areas of the country, our demilitarization, extermination of the Communists and their sympathizers, direct annexation of certain coastal lands, and, finally, the resignation of Chiang and heads of the Chinese military deemed 'anti-Japanese';;;X
EVT_2012018_ACTA;Enough. We give in.;Enough. We give in.;Enough. We give in.;Enough. We give in.;Enough. We give in.;Enough. We give in.;Enough. We give in.;Enough. We give in.;;;X
EVT_2012018_ACTB;China fights on;China fights on;China fights on;China fights on;China fights on;China fights on;China fights on;China fights on;;;X
EVT_2012019_NAME;Chonqing KMT surrenders;Chonqing KMT surrenders;Chonqing KMT surrenders;Chonqing KMT surrenders;Chonqing KMT surrenders;Chonqing KMT surrenders;Chonqing KMT surrenders;Chonqing KMT surrenders;;;X
EVT_2012019_DESC;The Chonqing KMT finally realized the danger and futility of continued resistance and decided to abandon the losing struggle and join forces with Japan. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chonqing KMT finally realized the danger and futility of continued resistance and decided to abandon the losing struggle and join forces with Japan. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chonqing KMT finally realized the danger and futility of continued resistance and decided to abandon the losing struggle and join forces with Japan. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chonqing KMT finally realized the danger and futility of continued resistance and decided to abandon the losing struggle and join forces with Japan. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chonqing KMT finally realized the danger and futility of continued resistance and decided to abandon the losing struggle and join forces with Japan. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chonqing KMT finally realized the danger and futility of continued resistance and decided to abandon the losing struggle and join forces with Japan. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chonqing KMT finally realized the danger and futility of continued resistance and decided to abandon the losing struggle and join forces with Japan. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chonqing KMT finally realized the danger and futility of continued resistance and decided to abandon the losing struggle and join forces with Japan. Together, Asia will be stronger. Now, we just need to finish off the communists...;;;X
EVT_2012020_NAME;China surrenders;China surrenders;China surrenders;China surrenders;China surrenders;China surrenders;China surrenders;China surrenders;;;X
EVT_2012020_DESC;The Chinese KMT wisely chose to cease resistance and submit to our benevolent rule. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chinese KMT wisely chose to cease resistance and submit to our benevolent rule. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chinese KMT wisely chose to cease resistance and submit to our benevolent rule. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chinese KMT wisely chose to cease resistance and submit to our benevolent rule. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chinese KMT wisely chose to cease resistance and submit to our benevolent rule. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chinese KMT wisely chose to cease resistance and submit to our benevolent rule. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chinese KMT wisely chose to cease resistance and submit to our benevolent rule. Together, Asia will be stronger. Now, we just need to finish off the communists...;The Chinese KMT wisely chose to cease resistance and submit to our benevolent rule. Together, Asia will be stronger. Now, we just need to finish off the communists...;;;X
EVT_2012021_NAME;Chiang surrenders;Chiang surrenders;Chiang surrenders;Chiang surrenders;Chiang surrenders;Chiang surrenders;Chiang surrenders;Chiang surrenders;;;X
EVT_2012021_DESC;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. Now we are one on one with the Japanese invaders. Luckily, a good portion of Chiang's army refused to surrender and went over to our side...;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. Now we are one on one with the Japanese invaders. Luckily, a good portion of Chiang's army refused to surrender and went over to our side...;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. Now we are one on one with the Japanese invaders. Luckily, a good portion of Chiang's army refused to surrender and went over to our side...;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. Now we are one on one with the Japanese invaders. Luckily, a good portion of Chiang's army refused to surrender and went over to our side...;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. Now we are one on one with the Japanese invaders. Luckily, a good portion of Chiang's army refused to surrender and went over to our side...;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. Now we are one on one with the Japanese invaders. Luckily, a good portion of Chiang's army refused to surrender and went over to our side...;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. Now we are one on one with the Japanese invaders. Luckily, a good portion of Chiang's army refused to surrender and went over to our side...;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. Now we are one on one with the Japanese invaders. Luckily, a good portion of Chiang's army refused to surrender and went over to our side...;;;X
EVT_2012022_NAME;Chiang surrenders;Chiang surrenders;Chiang surrenders;Chiang surrenders;Chiang surrenders;Chiang surrenders;Chiang surrenders;Chiang surrenders;;;X
EVT_2012022_DESC;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. The Soviet Union, however, promises to protect us from further Japanese incursions;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. The Soviet Union, however, promises to protect us from further Japanese incursions;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. The Soviet Union, however, promises to protect us from further Japanese incursions;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. The Soviet Union, however, promises to protect us from further Japanese incursions;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. The Soviet Union, however, promises to protect us from further Japanese incursions;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. The Soviet Union, however, promises to protect us from further Japanese incursions;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. The Soviet Union, however, promises to protect us from further Japanese incursions;The coward Chiang sold out our fatherland to the enemy. We had expected nothing less from him. The Soviet Union, however, promises to protect us from further Japanese incursions;;;X
EVT_2141020_NAME;Battle of Singapore (30-day Japanese Blitz);Battle of Singapore (30-day Japanese Blitz);Battle of Singapore (30-day Japanese Blitz);Battle of Singapore (30-day Japanese Blitz);Battle of Singapore (30-day Japanese Blitz);Battle of Singapore (30-day Japanese Blitz);Battle of Singapore (30-day Japanese Blitz);Battle of Singapore (30-day Japanese Blitz);;;X
EVT_2141020_DESC;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;;;X
EVT_2141020_ACTA;Long live the Emperor! ;Long live the Emperor! ;Long live the Emperor! ;Long live the Emperor! ;Long live the Emperor! ;Long live the Emperor! ;Long live the Emperor! ;Long live the Emperor! ;;;X
EVT_2141021_NAME;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;;;X
EVT_2141021_DESC;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;The 30-day Japanese Blitz is over;;;X
EVT_2141022_NAME;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;;;X
EVT_2141022_DESC;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders and establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and later fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;;;X
EVT_2141022_ACTA;Disaster! ;Disaster! ;Disaster! ;Disaster! ;Disaster! ;Disaster! ;Disaster! ;Disaster! ;;;X
EVT_2141023_NAME;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;Disaster at Singapore;;;X
EVT_2141023_DESC;Singapore was the foremost British military base and economic port in South–East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South–East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South–East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South–East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South–East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South–East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South–East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;Singapore was the foremost British military base and economic port in South–East Asia and had been of great importance to British interwar defence strategy. The Japanese under General Tomoyuki Yamashita had advanced with approximately 30,000 men against at least 85,000 Allied troops dug in the heavily fortified island of Singapore, although many Allied troops were inexperienced and less than reliable. The Japanese managed to surprise the defenders establish a crossing where they were not expected. A week later, Singapore surrendered. After the battle, about 40,000 Indian soldiers, mostly conscripted, joined the pro-Japanese Indian National Army and fought with the Japanese in the Burma campaign. Churchill called the defeat at Singapore the worst disaster in British military history.;;;X
EVT_2141023_ACTA;Disaster! ;Disaster! ;Disaster! ;Disaster! ;Disaster! ;Disaster! ;Disaster! ;Disaster! ;;;X
EVT_2141025_NAME;Unrest in the Colony;Unrest in the Colony;Unrest in the Colony;Unrest in the Colony;Unrest in the Colony;Unrest in the Colony;Unrest in the Colony;Unrest in the Colony;;;X
