;ENG;FRA;ITA;SPA;GER;POL;RUS;RUS;;;X;
PROV2997;Huancayo;Huancayo;Huancayo;Huancayo;Huancayo;Huancayo;Huancayo;Хуанкайо;;;X;
PROV2998;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Санта Фе;;;X;
PROV2999;Great Slave Lake;Great Slave Lake;Great Slave Lake;Great Slave Lake;Great Slave Lake;Great Slave Lake;Great Slave Lake;Грейт Слейв Лейк;;;X;
PROV3000;Athabasca & Claire lakes;Athabasca & Claire lakes;Athabasca & Claire lakes;Athabasca & Claire lakes;Athabasca & Claire lakes;Athabasca & Claire lakes;Athabasca & Claire lakes;Атабаска энд Клэр;;;X;
PROV3001;Reindeer Lake;Reindeer Lake;Reindeer Lake;Reindeer Lake;Reindeer Lake;Reindeer Lake;Reindeer Lake;Рейндер Лэйк;;;X;
PROV3002;Manitoba, Winnipegosis & Cedar Lakes;Manitoba, Winnipegosis & Cedar Lakes;Manitoba, Winnipegosis & Cedar Lakes;Manitoba, Winnipegosis & Cedar Lakes;Manitoba, Winnipegosis & Cedar Lakes;Manitoba, Winnipegosis & Cedar Lakes;Manitoba, Winnipegosis & Cedar Lakes;озера Манитоба, Виннипег и Седар;;;X;
PROV3003;Lake Winnipeg;Lake Winnipeg;Lake Winnipeg;Lake Winnipeg;Lake Winnipeg;Lake Winnipeg;Lake Winnipeg;оз. Виннипег;;;X;
PROV3004;Lake of the Woods;Lake of the Woods;Lake of the Woods;Lake of the Woods;Lake of the Woods;Lake of the Woods;Lake of the Woods;оз. Лесное;;;X;
PROV3005;Lake Nipigon;Lake Nipigon;Lake Nipigon;Lake Nipigon;Lake Nipigon;Lake Nipigon;Lake Nipigon;оз Нипигон;;;X;
PROV3006;Lake Superior;Lake Superior;Lake Superior;Lake Superior;Lake Superior;Lake Superior;Lake Superior;оз. Верхнее;;;X;
PROV3007;Lake Michigan;Lake Michigan;Lake Michigan;Lake Michigan;Lake Michigan;Lake Michigan;Lake Michigan;оз. Мичиган;;;X;
PROV3008;Lake Huron;Lake Huron;Lake Huron;Lake Huron;Lake Huron;Lake Huron;Lake Huron;оз. Гурон;;;X;
PROV3009;Lake Erie;Lake Erie;Lake Erie;Lake Erie;Lake Erie;Lake Erie;Lake Erie;оз. Эри;;;X;
PROV3010;Lake Ontario;Lake Ontario;Lake Ontario;Lake Ontario;Lake Ontario;Lake Ontario;Lake Ontario;оз. Онтарио;;;X;
PROV3011;Great Salt Lake;Great Salt Lake;Great Salt Lake;Great Salt Lake;Great Salt Lake;Great Salt Lake;Great Salt Lake;Великое Соленое озеро;;;X;
PROV3012;Lake Nicaragua;Lake Nicaragua;Lake Nicaragua;Lake Nicaragua;Lake Nicaragua;Lake Nicaragua;Lake Nicaragua;оз. Никарагуа;;;X;
PROV3013;Lake Titicaca;Lake Titicaca;Lake Titicaca;Lake Titicaca;Lake Titicaca;Lake Titicaca;Lake Titicaca;оз. Титикака;;;X;
PROV3014;Lagoon Mirim;Lagoon Mirim;Lagoon Mirim;Lagoon Mirim;Lagoon Mirim;Lagoon Mirim;Lagoon Mirim;лагуна Мирим;;;X;
PROV3015;Vдnern;Vдnern;Vдnern;Vдnern;Vдnern;Vдnern;Vдnern;Венерн;;;X;
PROV3016;Vдttern;Vдttern;Vдttern;Vдttern;Vдttern;Vдttern;Vдttern;Веттерн;;;X;
PROV3017;Lake Peipus;Lake Peipus;Lake Peipus;Lake Peipus;Lake Peipus;Lake Peipus;Lake Peipus;оз. Чудское;;;X;
PROV3018;Lake Ladoga;Lake Ladoga;Lake Ladoga;Lake Ladoga;Lake Ladoga;Lake Ladoga;Lake Ladoga;оз. Ладога;;;X;
PROV3019;Lake Onega;Lake Onega;Lake Onega;Lake Onega;Lake Onega;Lake Onega;Lake Onega;оз. Онега;;;X;
PROV3020;Baydaratskaya Bay;Baydaratskaya Bay;Baydaratskaya Bay;Baydaratskaya Bay;Baydaratskaya Bay;Baydaratskaya Bay;Baydaratskaya Bay;залив Байдарочный;;;X;
PROV3021;Gulf of Ob;Gulf of Ob;Gulf of Ob;Gulf of Ob;Gulf of Ob;Gulf of Ob;Gulf of Ob;Бухта Оби;;;X;
PROV3022;Caspian Sea;Caspian Sea;Caspian Sea;Caspian Sea;Caspian Sea;Caspian Sea;Caspian Sea;Каспийское море;;;X;
PROV3023;Aral Sea;Aral Sea;Aral Sea;Aral Sea;Aral Sea;Aral Sea;Aral Sea;Аральское море;;;X;
PROV3024;Lake Balkhash;Lake Balkhash;Lake Balkhash;Lake Balkhash;Lake Balkhash;Lake Balkhash;Lake Balkhash;оз. Балхаш;;;X;
PROV3025;Lake Chad;Lake Chad;Lake Chad;Lake Chad;Lake Chad;Lake Chad;Lake Chad;оз. Чад;;;X;
PROV3026;Lake Victoria;Lake Victoria;Lake Victoria;Lake Victoria;Lake Victoria;Lake Victoria;Lake Victoria;оз. Виктория;;;X;
PROV3027;Lake Tanganyika;Lake Tanganyika;Lake Tanganyika;Lake Tanganyika;Lake Tanganyika;Lake Tanganyika;Lake Tanganyika;оз. Танганьика;;;X;
PROV3028;Lake Malawi;Lake Malawi;Lake Malawi;Lake Malawi;Lake Malawi;Lake Malawi;Lake Malawi;оз. Малави;;;X;
PROV3029;Lake Baikal;Lake Baikal;Lake Baikal;Lake Baikal;Lake Baikal;Lake Baikal;Lake Baikal;оз. Байкал;;;X;
PROV3030;Taunton;Taunton;Taunton;Taunton;Taunton;Taunton;Taunton;Таунтон;;;X;
PROV3031;Southampton;Southampton;Southampton;Southampton;Southampton;Southampton;Southampton;Саутгемптон;;;X;
PROV3032;Swindon;Swindon;Swindon;Swindon;Swindon;Swindon;Swindon;Свиндон;;;X;
PROV3033;Luton;Luton;Luton;Luton;Luton;Luton;Luton;Лутон;;;X;
PROV3034;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;Саутенд он Си;;;X;
PROV3035;Cambridge;Cambridge;Cambridge;Cambridge;Cambridge;Cambridge;Cambridge;Кембридж;;;X;
PROV3036;Coventry;Coventry;Coventry;Coventry;Coventry;Coventry;Coventry;Ковентри;;;X;
PROV3037;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;Сток он Тренд;;;X;
PROV3038;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;Ливерпуль;;;X;
PROV3039;Leeds;Leeds;Leeds;Leeds;Leeds;Leeds;Leeds;Лидс;;;X;
PROV3040;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;Ньюкасл апон Тайм;;;X;
PROV3041;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;Лендриндод Велс;;;X;
PROV3042;Wrexham;Wrexham;Wrexham;Wrexham;Wrexham;Wrexham;Wrexham;Рексем;;;X;
PROV3043;Hawick;Hawick;Hawick;Hawick;Hawick;Hawick;Hawick;Харвик;;;X;
PROV3044;Paisley;Paisley;Paisley;Paisley;Paisley;Paisley;Paisley;Пэсли;;;X;
PROV3045;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Даунфермлин;;;X;
PROV3046;Dundee;Dundee;Dundee;Dundee;Dundee;Dundee;Dundee;Данди;;;X;
PROV3047;Elgin;Elgin;Elgin;Elgin;Elgin;Elgin;Elgin;Елгин;;;X;
PROV3048;Port Lairge;Port Lairge;Port Lairge;Port Lairge;Port Lairge;Port Lairge;Port Lairge;Порт Лардж;;;X;
PROV3049;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Люмнич;;;X;
PROV3050;Inis;Inis;Inis;Inis;Inis;Inis;Inis;Инис;;;X;
PROV3051;Nas na Riogh;Nas na Riogh;Nas na Riogh;Nas na Riogh;Nas na Riogh;Nas na Riogh;Nas na Riogh;Нас на Рио;;;X;
PROV3052;Muineachan;Muineachan;Muineachan;Muineachan;Muineachan;Muineachan;Muineachan;Мюнхен;;;X;
PROV3053;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Слигич;;;X;
PROV3054;Thurso;Thurso;Thurso;Thurso;Thurso;Thurso;Thurso;Фурсо;;;X;
PROV3055;Mangalia;Mangalia;Mangalia;Mangalia;Mangalia;Mangalia;Mangalia;Мангалия;;;X;
PROV3056;Catanzaro;Catanzaro;Catanzaro;Catanzaro;Catanzaro;Catanzaro;Catanzaro;Катанзаро;;;X;
PROV3057;Siracusa;Siracusa;Siracusa;Siracusa;Siracusa;Siracusa;Siracusa;Сиракузы;;;X;
PROV3058;Gela;Gela;Gela;Gela;Gela;Gela;Gela;Гела;;;X;
PROV3059;Nuoro;Nuoro;Nuoro;Nuoro;Nuoro;Nuoro;Nuoro;Ниоро;;;X;
PROV3060;Bastia;Bastia;Bastia;Bastia;Bastia;Bastia;Bastia;Бастия;;;X;
PROV3061;Kumamoto-shi;Kumamoto-shi;Kumamoto-shi;Kumamoto-shi;Kumamoto-shi;Kumamoto-shi;Kumamoto-shi;Кумамото;;;X;
PROV3062;Miyazaki-shi;Miyazaki-shi;Miyazaki-shi;Miyazaki-shi;Miyazaki-shi;Miyazaki-shi;Miyazaki-shi;Миязаки;;;X;
PROV3063;Oita-shi;Oita-shi;Oita-shi;Oita-shi;Oita-shi;Oita-shi;Oita-shi;Оита;;;X;
PROV3064;Takamatsu-shi;Takamatsu-shi;Takamatsu-shi;Takamatsu-shi;Takamatsu-shi;Takamatsu-shi;Takamatsu-shi;Такаматсу;;;X;
PROV3065;Yamaguchi-shi;Yamaguchi-shi;Yamaguchi-shi;Yamaguchi-shi;Yamaguchi-shi;Yamaguchi-shi;Yamaguchi-shi;Ямагучи;;;X;
PROV3066;Matsue-shi;Matsue-shi;Matsue-shi;Matsue-shi;Matsue-shi;Matsue-shi;Matsue-shi;Мацуи;;;X;
PROV3067;Okayama-shi;Okayama-shi;Okayama-shi;Okayama-shi;Okayama-shi;Okayama-shi;Okayama-shi;Окаяма;;;X;
PROV3068;Tottori-shi;Tottori-shi;Tottori-shi;Tottori-shi;Tottori-shi;Tottori-shi;Tottori-shi;Тоттори;;;X;
PROV3069;Wakayama-shi;Wakayama-shi;Wakayama-shi;Wakayama-shi;Wakayama-shi;Wakayama-shi;Wakayama-shi;Вакаяма;;;X;
PROV3070;Yokkaichi-shi;Yokkaichi-shi;Yokkaichi-shi;Yokkaichi-shi;Yokkaichi-shi;Yokkaichi-shi;Yokkaichi-shi;Йоккаичи;;;X;
PROV3071;Fukui-shi;Fukui-shi;Fukui-shi;Fukui-shi;Fukui-shi;Fukui-shi;Fukui-shi;Фукуи;;;X;
PROV3072;Gifu-shi;Gifu-shi;Gifu-shi;Gifu-shi;Gifu-shi;Gifu-shi;Gifu-shi;Гифу;;;X;
PROV3073;Kofu-shi;Kofu-shi;Kofu-shi;Kofu-shi;Kofu-shi;Kofu-shi;Kofu-shi;Кофу;;;X;
PROV3074;Takada-shi;Takada-shi;Takada-shi;Takada-shi;Takada-shi;Takada-shi;Takada-shi;Такада;;;X;
PROV3075;Ueda-shi;Ueda-shi;Ueda-shi;Ueda-shi;Ueda-shi;Ueda-shi;Ueda-shi;Уеда;;;X;
PROV3076;Utsunomiya-shi;Utsunomiya-shi;Utsunomiya-shi;Utsunomiya-shi;Utsunomiya-shi;Utsunomiya-shi;Utsunomiya-shi;Утсуномиа;;;X;
PROV3077;Chiba-shi;Chiba-shi;Chiba-shi;Chiba-shi;Chiba-shi;Chiba-shi;Chiba-shi;Чиба;;;X;
PROV3078;Mito-shi;Mito-shi;Mito-shi;Mito-shi;Mito-shi;Mito-shi;Mito-shi;Мито;;;X;
PROV3079;Fukushima-shi;Fukushima-shi;Fukushima-shi;Fukushima-shi;Fukushima-shi;Fukushima-shi;Fukushima-shi;Фукусима;;;X;
PROV3080;Yamagata-shi;Yamagata-shi;Yamagata-shi;Yamagata-shi;Yamagata-shi;Yamagata-shi;Yamagata-shi;Ямагата;;;X;
PROV3081;Morioka-shi;Morioka-shi;Morioka-shi;Morioka-shi;Morioka-shi;Morioka-shi;Morioka-shi;Мориока;;;X;
PROV3082;Aomori-shi;Aomori-shi;Aomori-shi;Aomori-shi;Aomori-shi;Aomori-shi;Aomori-shi;Аомори;;;X;
PROV3083;Hakodate-shi;Hakodate-shi;Hakodate-shi;Hakodate-shi;Hakodate-shi;Hakodate-shi;Hakodate-shi;Хакодате;;;X;
PROV3084;Asahikawa-shi;Asahikawa-shi;Asahikawa-shi;Asahikawa-shi;Asahikawa-shi;Asahikawa-shi;Asahikawa-shi;Асахикава;;;X;
PROV3085;Obihiro-shi;Obihiro-shi;Obihiro-shi;Obihiro-shi;Obihiro-shi;Obihiro-shi;Obihiro-shi;Обихиро;;;X;
PROV3086;Gusukube-cho;Gusukube-cho;Gusukube-cho;Gusukube-cho;Gusukube-cho;Gusukube-cho;Gusukube-cho;Гусукубе;;;X;
PROV3087;Nago-shi;Nago-shi;Nago-shi;Nago-shi;Nago-shi;Nago-shi;Nago-shi;Наго;;;X;
PROV3088;Moto-mura;Moto-mura;Moto-mura;Moto-mura;Moto-mura;Moto-mura;Moto-mura;Мото Мура;;;X;
PROV3089;Kashiwabara;Kashiwabara;Kashiwabara;Kashiwabara;Kashiwabara;Kashiwabara;Kashiwabara;Кашивабара;;;X;
PROV3090;Lьshunkou;Lьshunkou;Lьshunkou;Lьshunkou;Lьshunkou;Lьshunkou;Lьshunkou;Порт Артур;;;X;
PROV3091;Seongjin;Songjin;Songjin;Songjin;Songjin;Songjin;Seongjin;Сенджин;;;X;
PROV3092;Hyesan;Hyesan;Hyesan;Hyesan;Hyesan;Hyesan;Hyesan;Хесан;;;X;
PROV3093;Hungnam;Hungnam;Hungnam;Hungnam;Hungnam;Hungnam;Hungnam;Хунгнам;;;X;
PROV3094;Huicheon;Huich'on;Huich'on;Huich'on;Huich'on;Huich'on;Huicheon;Хуйчеон;;;X;
PROV3095;Nampo;Nampo;Nampo;Nampo;Nampo;Nampo;Nampo;Нампо;;;X;
PROV3096;Yangdeok;Yangdeok;Yangdeok;Yangdeok;Yangdeok;Yangdeok;Yangdeok;Янгдеок;;;X;
PROV3097;Goseong;Goseong;Goseong;Goseong;Goseong;Goseong;Goseong;Косон;;;X;
PROV3098;Haeju;Haeju;Haeju;Haeju;Haeju;Haeju;Haeju;Хайжу;;;X;
PROV3099;Incheon;Incheon;Incheon;Incheon;Incheon;Incheon;Incheon;Инчхон;;;X;
PROV3100;Gangneung;Gangneung;Gangneung;Gangneung;Gangneung;Gangneung;Gangneung;Гангнион;;;X;
PROV3101;Andong;Andong;Andong;Andong;Andong;Andong;Andong;Андонг;;;X;
PROV3102;Cheongju;Cheongju;Cheongju;Cheongju;Cheongju;Cheongju;Cheongju;Ченджу;;;X;
PROV3103;Suwon;Suwon;Suwon;Suwon;Suwon;Suwon;Suwon;Сувон;;;X;
PROV3104;Cheonan;Cheonan;Cheonan;Cheonan;Cheonan;Cheonan;Cheonan;Чионань;;;X;
PROV3105;Jeonju;Jeonju;Jeonju;Jeonju;Jeonju;Jeonju;Jeonju;Жеонджу;;;X;
PROV3106;Yeosu;Yeosu;Yeosu;Yeosu;Yeosu;Yeosu;Yeosu;Йосу;;;X;
PROV3107;Masan;Masan;Masan;Masan;Masan;Masan;Masan;Массан;;;X;
PROV3108;Geochang;Geochang;Geochang;Geochang;Geochang;Geochang;Geochang;Гиочанг;;;X;
PROV3109;Ulsan;Ulsan;Ulsan;Ulsan;Ulsan;Ulsan;Ulsan;Ульсан;;;X;
PROV3110;Donhwa;Donhwa;Donhwa;Donhwa;Donhwa;Donhwa;Donhwa;Донва;;;X;
PROV3111;South West Australia Basin;South West Australia Basin;South West Australia Basin;South West Australia Basin;South West Australia Basin;South West Australia Basin;South West Australia Basin;Юго-Зап. Австрал. бассейн;;;X;
PROV3112;Vanimo;Vanimo;Vanimo;Vanimo;Vanimo;Vanimo;Vanimo;Ванимо;;;X;
PROV3113;Madang;Madang;Madang;Madang;Madang;Madang;Madang;Маданг;;;X;
PROV3114;Wabag;Wabag;Wabag;Wabag;Wabag;Wabag;Wabag;Вабаг;;;X;
PROV3115;Losuia;Losuia;Losuia;Losuia;Losuia;Losuia;Losuia;Лосуйя;;;X;
PROV3116;Champasak;Champasak;Champasak;Champasak;Champasak;Champasak;Champasak;Чампасак;;;X;
PROV3117;Savannakhet;Savannakhet;Savannakhet;Savannakhet;Savannakhet;Savannakhet;Savannakhet;Саваннахет;;;X;
PROV3118;Xam Neua;Xam Neua;Xam Neua;Xam Neua;Xam Neua;Xam Neua;Xam Neua;Ксам Нейа;;;X;
PROV3119;Pakxan;Pakxan;Pakxan;Pakxan;Pakxan;Pakxan;Pakxan;Пакхан;;;X;
PROV3120;Kracheh;Kracheh;Kracheh;Kracheh;Kracheh;Kracheh;Kracheh;Крачех;;;X;
PROV3121;Pursat;Pursat;Pursat;Pursat;Pursat;Pursat;Pursat;Пурсат;;;X;
PROV3122;Samraong;Samraong;Samraong;Samraong;Samraong;Samraong;Samraong;Самраонг;;;X;
PROV3123;Tonlй Sap;Tonlй Sap;Tonlй Sap;Tonlй Sap;Tonlй Sap;Tonlй Sap;Tonlй Sap;Тонле Сап;;;X;
PROV3124;Ubon Ratchathani;Ubon Ratchathani;Ubon Ratchathani;Ubon Ratchathani;Ubon Ratchathani;Ubon Ratchathani;Ubon Ratchathani;Убон Ратчатани;;;X;
PROV3125;Udon Thani;Udon Thani;Udon Thani;Udon Thani;Udon Thani;Udon Thani;Udon Thani;Удон Тани;;;X;
PROV3126;Lampang;Lampang;Lampang;Lampang;Lampang;Lampang;Lampang;Лампанг;;;X;
PROV3127;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Айютья;;;X;
PROV3128;Nakhon Pathom;Nakhon Pathom;Nakhon Pathom;Nakhon Pathom;Nakhon Pathom;Nakhon Pathom;Nakhon Pathom;Накхон Патом;;;X;
PROV3129;Pleiku;Pleiku;Pleiku;Pleiku;Pleiku;Pleiku;Pleiku;Плейку;;;X;
PROV3130;Ratchaburi;Ratchaburi;Ratchaburi;Ratchaburi;Ratchaburi;Ratchaburi;Ratchaburi;Ратчабури;;;X;
PROV3131;Surin;Surin;Surin;Surin;Surin;Surin;Surin;Сурин;;;X;
PROV3132;Naho;Naho;Naho;Naho;Naho;Naho;Naho;Нахо;;;X;
PROV3133;Taidong;Taidong;Taidong;Taidong;Taidong;Taidong;Taidong;Тайдонг;;;X;
PROV3134;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;Динь ле Бен;;;X;
PROV3135;Gap;Gap;Gap;Gap;Gap;Gap;Gap;Гап;;;X;
PROV3136;Roanne;Roanne;Roanne;Roanne;Roanne;Roanne;Roanne;Роанн;;;X;
PROV3137;Chambery;Chambery;Chambery;Chambery;Chambery;Chambery;Chambery;Шамбери;;;X;
PROV3138;Oyonnax;Oyonnax;Oyonnax;Oyonnax;Oyonnax;Oyonnax;Oyonnax;Онакс;;;X;
PROV3139;Privas;Privas;Privas;Privas;Privas;Privas;Privas;Привас;;;X;
PROV3140;Mende;Mende;Mende;Mende;Mende;Mende;Mende;Менде;;;X;
PROV3141;Albi;Albi;Albi;Albi;Albi;Albi;Albi;Алби;;;X;
PROV3142;Carcassonne;Carcassonne;Carcassonne;Carcassonne;Carcassonne;Carcassonne;Carcassonne;Каркассон;;;X;
PROV3143;Tarbes;Tarbes;Tarbes;Tarbes;Tarbes;Tarbes;Tarbes;Тарбес;;;X;
PROV3144;Colomiers;Colomiers;Colomiers;Colomiers;Colomiers;Colomiers;Colomiers;Коломирс;;;X;
PROV3145;Agen;Agen;Agen;Agen;Agen;Agen;Agen;Аген;;;X;
PROV3146;Cahors;Cahors;Cahors;Cahors;Cahors;Cahors;Cahors;Кахорс;;;X;
PROV3147;Rodez;Rodez;Rodez;Rodez;Rodez;Rodez;Rodez;Родез;;;X;
PROV3148;Aurillac;Aurillac;Aurillac;Aurillac;Aurillac;Aurillac;Aurillac;Орельяк;;;X;
PROV3149;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;Ле Пуй эн Вели;;;X;
PROV3150;Montlucon;Montlucon;Montlucon;Montlucon;Montlucon;Montlucon;Montlucon;Монтлукон;;;X;
PROV3151;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;Сен Аманд Монтрон;;;X;
PROV3152;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;Брив ла Галларде;;;X;
PROV3153;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;Ангулем;;;X;
PROV3154;Niort;Niort;Niort;Niort;Niort;Niort;Niort;Ньорт;;;X;
PROV3155;Cholet;Cholet;Cholet;Cholet;Cholet;Cholet;Cholet;Шоле;;;X;
PROV3156;Reze;Reze;Reze;Reze;Reze;Reze;Reze;Резе;;;X;
PROV3157;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Сен Назер;;;X;
PROV3158;Lannion;Lannion;Lannion;Lannion;Lannion;Lannion;Lannion;Ланьон;;;X;
PROV3159;Saint-Malo;Saint-Malo;Saint-Malo;Saint-Malo;Saint-Malo;Saint-Malo;Saint-Malo;Сен Мало;;;X;
PROV3160;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Байе;;;X;
PROV3161;Laval;Laval;Laval;Laval;Laval;Laval;Laval;Лаваль;;;X;
PROV3162;Angers;Angers;Angers;Angers;Angers;Angers;Angers;Анже;;;X;
PROV3163;Blois;Blois;Blois;Blois;Blois;Blois;Blois;Блуа;;;X;
PROV3164;Versailles;Versailles;Versailles;Versailles;Versailles;Versailles;Versailles;Версалль;;;X;
PROV3165;Creteil;Creteil;Creteil;Creteil;Creteil;Creteil;Creteil;Кретейль;;;X;
PROV3166;Sens;Sens;Sens;Sens;Sens;Sens;Sens;Сенс;;;X;
PROV3167;Migennes;Migennes;Migennes;Migennes;Migennes;Migennes;Migennes;Миженесс;;;X;
PROV3168;Autun;Autun;Autun;Autun;Autun;Autun;Autun;Аутун;;;X;
PROV3169;Moulins;Moulins;Moulins;Moulins;Moulins;Moulins;Moulins;Мулинс;;;X;
PROV3170;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Понтарлье;;;X;
PROV3171;Champlitte;Champlitte;Champlitte;Champlitte;Champlitte;Champlitte;Champlitte;Шамплитт;;;X;
PROV3172;Longwy;Longwy;Longwy;Longwy;Longwy;Longwy;Longwy;Лонви;;;X;
PROV3173;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;Шарлевиль Мизерре;;;X;
PROV3174;Velenciennes;Velenciennes;Velenciennes;Velenciennes;Velenciennes;Velenciennes;Velenciennes;Веленсинн;;;X;
PROV3175;Rouen;Rouen;Rouen;Rouen;Rouen;Rouen;Rouen;Руан;;;X;
PROV3176;Saint-Quentin;Saint-Quentin;Saint-Quentin;Saint-Quentin;Saint-Quentin;Saint-Quentin;Saint-Quentin;Сен Квентин;;;X;
PROV3177;Arras;Arras;Arras;Arras;Arras;Arras;Arras;Аррас;;;X;
PROV3178;Lugo;Lugo;Lugo;Lugo;Lugo;Lugo;Lugo;Люго;;;X;
PROV3179;Orense;Orense;Orense;Orense;Orense;Orense;Orense;Онерси;;;X;
PROV3180;Gijуn;Gijуn;Gijуn;Gijуn;Gijуn;Gijуn;Gijуn;Джильюн;;;X;
PROV3181;Zamora;Zamora;Zamora;Zamora;Zamora;Zamora;Zamora;Замора;;;X;
PROV3182;Palencia;Palencia;Palencia;Palencia;Palencia;Palencia;Palencia;Паленсия;;;X;
PROV3183;Avila;Avila;Avila;Avila;Avila;Avila;Avila;Авила;;;X;
PROV3184;Vitoria;Vitoria;Vitoria;Vitoria;Vitoria;Vitoria;Vitoria;Витория;;;X;
PROV3185;Tudela;Tudela;Tudela;Tudela;Tudela;Tudela;Tudela;Тудела;;;X;
PROV3186;Jaca;Jaca;Jaca;Jaca;Jaca;Jaca;Jaca;Джака;;;X;
PROV3187;Alcaniz;Alcaniz;Alcaniz;Alcaniz;Alcaniz;Alcaniz;Alcaniz;Альканиз;;;X;
PROV3188;Berga;Berga;Berga;Berga;Berga;Berga;Berga;Берга;;;X;
PROV3189;Manresa;Manresa;Manresa;Manresa;Manresa;Manresa;Manresa;Манреса;;;X;
PROV3190;Sigьenza;Sigьenza;Sigьenza;Sigьenza;Sigьenza;Sigьenza;Sigьenza;Сидженца;;;X;
PROV3191;Tarancуn;Tarancуn;Tarancуn;Tarancуn;Tarancуn;Tarancуn;Tarancуn;Таранкин;;;X;
PROV3192;Alcazar de San Juan;Alcazar de San Juan;Alcazar de San Juan;Alcazar de San Juan;Alcazar de San Juan;Alcazar de San Juan;Alcazar de San Juan;Альказар;;;X;
PROV3193;Tomelloso;Tomelloso;Tomelloso;Tomelloso;Tomelloso;Tomelloso;Tomelloso;Томеллосо;;;X;
PROV3194;Mуstoles;Mуstoles;Mуstoles;Mуstoles;Mуstoles;Mуstoles;Mуstoles;Мистолес;;;X;
PROV3195;Collado Villalba;Collado Villalba;Collado Villalba;Collado Villalba;Collado Villalba;Collado Villalba;Collado Villalba;Колладо Виллальба;;;X;
PROV3196;Plasencia;Plasencia;Plasencia;Plasencia;Plasencia;Plasencia;Plasencia;Пласенсия;;;X;
PROV3197;Trujillo;Trujillo;Trujillo;Trujillo;Trujillo;Trujillo;Trujillo;Трухильо;;;X;
PROV3198;Merida;Merida;Merida;Merida;Merida;Merida;Merida;Мерида;;;X;
PROV3199;Valverde del Camino;Valverde del Camino;Valverde del Camino;Valverde del Camino;Valverde del Camino;Valverde del Camino;Valverde del Camino;Вальверде дель Камино;;;X;
PROV3200;Jerez de la Frontera;Jerez de la Frontera;Jerez de la Frontera;Jerez de la Frontera;Jerez de la Frontera;Jerez de la Frontera;Jerez de la Frontera;Херес де ла Фонтера;;;X;
PROV3201;Ecija;Ecija;Ecija;Ecija;Ecija;Ecija;Ecija;Экиья;;;X;
PROV3202;Andujar;Andujar;Andujar;Andujar;Andujar;Andujar;Andujar;Андухар;;;X;
PROV3203;Linares;Linares;Linares;Linares;Linares;Linares;Linares;Линарес;;;X;
PROV3204;Baza;Baza;Baza;Baza;Baza;Baza;Baza;База;;;X;
PROV3205;Cartagena;Cartagena;Cartagena;Cartagena;Cartagena;Cartagena;Cartagena;Картахена;;;X;
PROV3206;Braga;Braga;Braga;Braga;Braga;Braga;Braga;Брага;;;X;
PROV3207;Vila Real;Vila Real;Vila Real;Vila Real;Vila Real;Vila Real;Vila Real;Вила Реаль;;;X;
PROV3208;Viseu;Viseu;Viseu;Viseu;Viseu;Viseu;Viseu;Висеу;;;X;
PROV3209;Aveiro;Aveiro;Aveiro;Aveiro;Aveiro;Aveiro;Aveiro;Авьеро;;;X;
